source_file,region,region_code,sector,year,month,value,variable
eurostat.xlsx,Attiki,EL30,NaN,2013,NaN,3912849,population
eurostat.xlsx,Voreio Aigaio,EL41,NaN,2013,NaN,199478,population
eurostat.xlsx,Notio Aigaio,EL42,NaN,2013,NaN,334652,population
eurostat.xlsx,Kriti,EL43,NaN,2013,NaN,630085,population
eurostat.xlsx,"Anatoliki Makedonia, Thraki",EL51,NaN,2013,NaN,610102,population
eurostat.xlsx,Kentriki Makedonia,EL52,NaN,2013,NaN,1912624,population
eurostat.xlsx,Dytiki Makedonia,EL53,NaN,2013,NaN,281324,population
eurostat.xlsx,Ipeiros,EL54,NaN,2013,NaN,343128,population
eurostat.xlsx,Thessalia,EL61,NaN,2013,NaN,741593,population
eurostat.xlsx,Ionia Nisia,EL62,NaN,2013,NaN,208241,population
eurostat.xlsx,Dytiki Elláda,EL63,NaN,2013,NaN,682583,population
eurostat.xlsx,Sterea Elláda,EL64,NaN,2013,NaN,560093,population
eurostat.xlsx,Peloponnisos,EL65,NaN,2013,NaN,586863,population
eurostat.xlsx,Attiki,EL30,NaN,2014,NaN,3863763,population
eurostat.xlsx,Voreio Aigaio,EL41,NaN,2014,NaN,198581,population
eurostat.xlsx,Notio Aigaio,EL42,NaN,2014,NaN,334802,population
eurostat.xlsx,Kriti,EL43,NaN,2014,NaN,630889,population
eurostat.xlsx,"Anatoliki Makedonia, Thraki",EL51,NaN,2014,NaN,608214,population
eurostat.xlsx,Kentriki Makedonia,EL52,NaN,2014,NaN,1903360,population
eurostat.xlsx,Dytiki Makedonia,EL53,NaN,2014,NaN,278706,population
eurostat.xlsx,Ipeiros,EL54,NaN,2014,NaN,341046,population
eurostat.xlsx,Thessalia,EL61,NaN,2014,NaN,737686,population
eurostat.xlsx,Ionia Nisia,EL62,NaN,2014,NaN,207664,population
eurostat.xlsx,Dytiki Elláda,EL63,NaN,2014,NaN,677727,population
eurostat.xlsx,Sterea Elláda,EL64,NaN,2014,NaN,559214,population
eurostat.xlsx,Peloponnisos,EL65,NaN,2014,NaN,585155,population
eurostat.xlsx,Attiki,EL30,NaN,2015,NaN,3822843,population
eurostat.xlsx,Voreio Aigaio,EL41,NaN,2015,NaN,197695,population
eurostat.xlsx,Notio Aigaio,EL42,NaN,2015,NaN,334865,population
eurostat.xlsx,Kriti,EL43,NaN,2015,NaN,631513,population
eurostat.xlsx,"Anatoliki Makedonia, Thraki",EL51,NaN,2015,NaN,606490,population
eurostat.xlsx,Kentriki Makedonia,EL52,NaN,2015,NaN,1893878,population
eurostat.xlsx,Dytiki Makedonia,EL53,NaN,2015,NaN,276423,population
eurostat.xlsx,Ipeiros,EL54,NaN,2015,NaN,339142,population
eurostat.xlsx,Thessalia,EL61,NaN,2015,NaN,733663,population
eurostat.xlsx,Ionia Nisia,EL62,NaN,2015,NaN,207059,population
eurostat.xlsx,Dytiki Elláda,EL63,NaN,2015,NaN,673263,population
eurostat.xlsx,Sterea Elláda,EL64,NaN,2015,NaN,557753,population
eurostat.xlsx,Peloponnisos,EL65,NaN,2015,NaN,583431,population
eurostat.xlsx,Attiki,EL30,NaN,2016,NaN,3781274,population
eurostat.xlsx,Voreio Aigaio,EL41,NaN,2016,NaN,196654,population
eurostat.xlsx,Notio Aigaio,EL42,NaN,2016,NaN,334791,population
eurostat.xlsx,Kriti,EL43,NaN,2016,NaN,631812,population
eurostat.xlsx,"Anatoliki Makedonia, Thraki",EL51,NaN,2016,NaN,604504,population
eurostat.xlsx,Kentriki Makedonia,EL52,NaN,2016,NaN,1883339,population
eurostat.xlsx,Dytiki Makedonia,EL53,NaN,2016,NaN,273843,population
eurostat.xlsx,Ipeiros,EL54,NaN,2016,NaN,336834,population
eurostat.xlsx,Thessalia,EL61,NaN,2016,NaN,729442,population
eurostat.xlsx,Ionia Nisia,EL62,NaN,2016,NaN,206141,population
eurostat.xlsx,Dytiki Elláda,EL63,NaN,2016,NaN,668258,population
eurostat.xlsx,Sterea Elláda,EL64,NaN,2016,NaN,555830,population
eurostat.xlsx,Peloponnisos,EL65,NaN,2016,NaN,581026,population
eurostat.xlsx,Attiki,EL30,NaN,2017,NaN,3773559,population
eurostat.xlsx,Voreio Aigaio,EL41,NaN,2017,NaN,203700,population
eurostat.xlsx,Notio Aigaio,EL42,NaN,2017,NaN,338383,population
eurostat.xlsx,Kriti,EL43,NaN,2017,NaN,632674,population
eurostat.xlsx,"Anatoliki Makedonia, Thraki",EL51,NaN,2017,NaN,602799,population
eurostat.xlsx,Kentriki Makedonia,EL52,NaN,2017,NaN,1880122,population
eurostat.xlsx,Dytiki Makedonia,EL53,NaN,2017,NaN,271488,population
eurostat.xlsx,Ipeiros,EL54,NaN,2017,NaN,335250,population
