region_code,sector,year,month,variable,value,estimate_flag,method_used
EL,ALL,2008,,energy_environ_tax,3042,observed,observed
EL,ALL,2009,,energy_environ_tax,3129,observed,observed
EL,ALL,2010,,energy_environ_tax,4454,observed,observed
EL,ALL,2011,,energy_environ_tax,4584,observed,observed
EL,ALL,2012,,energy_environ_tax,5622,observed,observed
EL,ALL,2013,,energy_environ_tax,5965,observed,observed
EL,ALL,2014,,energy_environ_tax,5961,observed,observed
EL,ALL,2015,,energy_environ_tax,6030,observed,observed
EL,ALL,2016,,energy_environ_tax,5891,observed,observed
EL,ALL,2017,,energy_environ_tax,6319,observed,observed
EL,ALL,2018,,energy_environ_tax,5929,observed,observed
EL,ALL,2019,,energy_environ_tax,6186,observed,observed
EL,ALL,2020,,energy_environ_tax,5418,observed,observed
EL,ALL,2021,,energy_environ_tax,6213,observed,observed
EL,ALL,2022,,energy_environ_tax,9989,observed,observed
EL,ALL,2023,,energy_environ_tax,7547,observed,observed
EL,ALL,2024,,energy_environ_tax,8018.294921,modeled,pooled-drift (annual)
EL,ALL,2025,,energy_environ_tax,8519.021259,modeled,pooled-drift (annual)
EL,ALL,2026,,energy_environ_tax,9051.016947,modeled,pooled-drift (annual)
EL,ALL,2027,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2028,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2029,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2030,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2031,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2032,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2033,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2034,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2035,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2036,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2037,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2038,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2039,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2040,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2041,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2042,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2043,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2044,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2045,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2046,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2047,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2048,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2049,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2050,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2051,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2052,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2053,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2054,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2055,,energy_environ_tax,9126,modeled,pooled-drift (annual)
EL,ALL,2008,,total_environ_tax,4971.999,observed,observed
EL,ALL,2009,,total_environ_tax,4943.997,observed,observed
EL,ALL,2010,,total_environ_tax,5977.997,observed,observed
EL,ALL,2011,,total_environ_tax,6016.999,observed,observed
EL,ALL,2012,,total_environ_tax,6938,observed,observed
EL,ALL,2013,,total_environ_tax,7240,observed,observed
EL,ALL,2014,,total_environ_tax,7269.95,observed,observed
EL,ALL,2015,,total_environ_tax,7401.01,observed,observed
EL,ALL,2016,,total_environ_tax,7280.98,observed,observed
EL,ALL,2017,,total_environ_tax,7759,observed,observed
EL,ALL,2018,,total_environ_tax,7401.996,observed,observed
EL,ALL,2019,,total_environ_tax,7696,observed,observed
EL,ALL,2020,,total_environ_tax,6818,observed,observed
EL,ALL,2021,,total_environ_tax,7701,observed,observed
EL,ALL,2022,,total_environ_tax,11635,observed,observed
EL,ALL,2023,,total_environ_tax,9257,observed,observed
EL,ALL,2024,,total_environ_tax,9648.642437,modeled,pooled-drift (annual)
EL,ALL,2025,,total_environ_tax,10056.85437,modeled,pooled-drift (annual)
EL,ALL,2026,,total_environ_tax,10482.33681,modeled,pooled-drift (annual)
EL,ALL,2027,,total_environ_tax,10925.82044,modeled,pooled-drift (annual)
EL,ALL,2028,,total_environ_tax,11388.06684,modeled,pooled-drift (annual)
EL,ALL,2029,,total_environ_tax,11869.86983,modeled,pooled-drift (annual)
EL,ALL,2030,,total_environ_tax,12372.05679,modeled,pooled-drift (annual)
EL,ALL,2031,,total_environ_tax,12895.49014,modeled,pooled-drift (annual)
EL,ALL,2032,,total_environ_tax,13441.06875,modeled,pooled-drift (annual)
EL,ALL,2033,,total_environ_tax,14009.72954,modeled,pooled-drift (annual)
EL,ALL,2034,,total_environ_tax,14602.44906,modeled,pooled-drift (annual)
EL,ALL,2035,,total_environ_tax,15220.24519,modeled,pooled-drift (annual)
EL,ALL,2036,,total_environ_tax,15864.17885,modeled,pooled-drift (annual)
EL,ALL,2037,,total_environ_tax,16535.35587,modeled,pooled-drift (annual)
EL,ALL,2038,,total_environ_tax,17234.92885,modeled,pooled-drift (annual)
EL,ALL,2039,,total_environ_tax,17964.09916,modeled,pooled-drift (annual)
EL,ALL,2040,,total_environ_tax,18724.11899,modeled,pooled-drift (annual)
EL,ALL,2041,,total_environ_tax,19516.29352,modeled,pooled-drift (annual)
EL,ALL,2042,,total_environ_tax,20341.98313,modeled,pooled-drift (annual)
EL,ALL,2043,,total_environ_tax,21202.60578,modeled,pooled-drift (annual)
EL,ALL,2044,,total_environ_tax,22099.6394,modeled,pooled-drift (annual)
EL,ALL,2045,,total_environ_tax,23034.62445,modeled,pooled-drift (annual)
EL,ALL,2046,,total_environ_tax,24009.16658,modeled,pooled-drift (annual)
EL,ALL,2047,,total_environ_tax,24859.995,modeled,pooled-drift (annual)
EL,ALL,2048,,total_environ_tax,24859.995,modeled,pooled-drift (annual)
EL,ALL,2049,,total_environ_tax,24859.995,modeled,pooled-drift (annual)
EL,ALL,2050,,total_environ_tax,24859.995,modeled,pooled-drift (annual)
EL,ALL,2051,,total_environ_tax,24859.995,modeled,pooled-drift (annual)
EL,ALL,2052,,total_environ_tax,24859.995,modeled,pooled-drift (annual)
EL,ALL,2053,,total_environ_tax,24859.995,modeled,pooled-drift (annual)
EL,ALL,2054,,total_environ_tax,24859.995,modeled,pooled-drift (annual)
EL,ALL,2055,,total_environ_tax,24859.995,modeled,pooled-drift (annual)
EL,ALL,2008,,transport_environ_tax,1929.999,observed,observed
EL,ALL,2009,,transport_environ_tax,1814.997,observed,observed
EL,ALL,2010,,transport_environ_tax,1523.997,observed,observed
EL,ALL,2011,,transport_environ_tax,1432.999,observed,observed
EL,ALL,2012,,transport_environ_tax,1316,observed,observed
EL,ALL,2013,,transport_environ_tax,1275,observed,observed
EL,ALL,2014,,transport_environ_tax,1308.95,observed,observed
EL,ALL,2015,,transport_environ_tax,1371.01,observed,observed
EL,ALL,2016,,transport_environ_tax,1389.98,observed,observed
EL,ALL,2017,,transport_environ_tax,1440,observed,observed
EL,ALL,2018,,transport_environ_tax,1454.996,observed,observed
EL,ALL,2019,,transport_environ_tax,1501,observed,observed
EL,ALL,2020,,transport_environ_tax,1396,observed,observed
EL,ALL,2021,,transport_environ_tax,1475,observed,observed
EL,ALL,2022,,transport_environ_tax,1573,observed,observed
EL,ALL,2023,,transport_environ_tax,1681,observed,observed
EL,ALL,2024,,transport_environ_tax,1665.591217,modeled,pooled-drift (annual)
EL,ALL,2025,,transport_environ_tax,1650.323678,modeled,pooled-drift (annual)
EL,ALL,2026,,transport_environ_tax,1635.196088,modeled,pooled-drift (annual)
EL,ALL,2027,,transport_environ_tax,1620.207163,modeled,pooled-drift (annual)
EL,ALL,2028,,transport_environ_tax,1605.355634,modeled,pooled-drift (annual)
EL,ALL,2029,,transport_environ_tax,1590.640241,modeled,pooled-drift (annual)
EL,ALL,2030,,transport_environ_tax,1576.059735,modeled,pooled-drift (annual)
EL,ALL,2031,,transport_environ_tax,1561.61288,modeled,pooled-drift (annual)
EL,ALL,2032,,transport_environ_tax,1547.298452,modeled,pooled-drift (annual)
EL,ALL,2033,,transport_environ_tax,1533.115236,modeled,pooled-drift (annual)
EL,ALL,2034,,transport_environ_tax,1519.06203,modeled,pooled-drift (annual)
EL,ALL,2035,,transport_environ_tax,1505.137641,modeled,pooled-drift (annual)
EL,ALL,2036,,transport_environ_tax,1491.34089,modeled,pooled-drift (annual)
EL,ALL,2037,,transport_environ_tax,1477.670606,modeled,pooled-drift (annual)
EL,ALL,2038,,transport_environ_tax,1464.125629,modeled,pooled-drift (annual)
EL,ALL,2039,,transport_environ_tax,1450.704812,modeled,pooled-drift (annual)
EL,ALL,2040,,transport_environ_tax,1437.407015,modeled,pooled-drift (annual)
EL,ALL,2041,,transport_environ_tax,1424.231113,modeled,pooled-drift (annual)
EL,ALL,2042,,transport_environ_tax,1411.175986,modeled,pooled-drift (annual)
EL,ALL,2043,,transport_environ_tax,1398.240528,modeled,pooled-drift (annual)
EL,ALL,2044,,transport_environ_tax,1385.423642,modeled,pooled-drift (annual)
EL,ALL,2045,,transport_environ_tax,1372.724242,modeled,pooled-drift (annual)
EL,ALL,2046,,transport_environ_tax,1360.14125,modeled,pooled-drift (annual)
EL,ALL,2047,,transport_environ_tax,1347.673599,modeled,pooled-drift (annual)
EL,ALL,2048,,transport_environ_tax,1335.320232,modeled,pooled-drift (annual)
EL,ALL,2049,,transport_environ_tax,1323.080101,modeled,pooled-drift (annual)
EL,ALL,2050,,transport_environ_tax,1310.952169,modeled,pooled-drift (annual)
EL,ALL,2051,,transport_environ_tax,1298.935407,modeled,pooled-drift (annual)
EL,ALL,2052,,transport_environ_tax,1287.028795,modeled,pooled-drift (annual)
EL,ALL,2053,,transport_environ_tax,1275.231325,modeled,pooled-drift (annual)
